タイムスタンプ,回線番号,下りのトラヒック量(Byte),上りのトラヒック量(Byte),下りの廃棄量(Packets),下りの廃棄量(Byte)
2026-02-07 00:10:00,KK00-00,501507586,228986762,0,0
2026-02-07 00:10:00,LL00-00,420282375,326786170,0,0
2026-02-07 00:10:00,MM00-00,179715310,353634225,0,0
2026-02-07 00:10:00,NN00-00,260519106,57381825,33408,50113424
2026-02-07 00:10:00,OO00-00,195310776,383471783,0,0
2026-02-07 00:10:00,PP00-00,307708168,74597370,0,0
2026-02-07 00:10:00,QQ00-00,256633139,309263395,0,0
2026-02-07 00:10:00,RR00-00,157982812,384754234,0,0
2026-02-07 00:10:00,SS00-00,257625696,214071101,0,0
2026-02-07 00:10:00,TT00-00,296285332,114075758,0,0
2026-02-07 00:10:00,UU00-00,268045638,315873260,0,0
2026-02-07 00:10:00,VV00-00,439165264,469753292,0,0
2026-02-07 00:10:00,WW00-00,503572464,541913155,64220,96330742
2026-02-07 00:10:00,XX00-00,490322047,175324525,0,0
2026-02-07 00:10:00,YY00-00,457168665,628060927,0,0
2026-02-07 00:10:00,ZZ00-00,195112742,505978491,0,0
2026-02-07 00:15:00,AA00-00,200492352,362122850,18167,27251176
2026-02-07 00:15:00,BB00-00,503019165,65776238,0,0
2026-02-07 00:15:00,CC00-00,69133649,256545061,0,0
2026-02-07 00:15:00,DD00-00,506601403,679880138,0,0
2026-02-07 00:15:00,EE00-00,305635269,23599058,28295,42442604
2026-02-07 00:15:00,FF00-00,112470582,187911629,0,0
2026-02-07 00:15:00,GG00-00,246067264,320988411,29208,43812523
2026-02-07 00:15:00,HH00-00,410625956,198622787,0,0
2026-02-07 00:15:00,II00-00,463391062,47246502,0,0
2026-02-07 00:15:00,JJ00-00,316854733,329298852,0,0
2026-02-07 00:15:00,KK00-00,452315848,208919527,0,0
2026-02-07 00:15:00,LL00-00,437241946,348241500,0,0
2026-02-07 00:15:00,MM00-00,166971405,384374937,0,0
2026-02-07 00:15:00,NN00-00,277735312,61385960,18862,28294136
2026-02-07 00:15:00,OO00-00,188303597,351862403,0,0
2026-02-07 00:15:00,PP00-00,278765922,73600541,0,0
2026-02-07 00:15:00,QQ00-00,278878836,318116475,0,0
2026-02-07 00:15:00,RR00-00,169791654,408241902,0,0
2026-02-07 00:15:00,SS00-00,275969966,218668396,0,0
2026-02-07 00:15:00,TT00-00,314975951,119291251,0,0
2026-02-07 00:15:00,UU00-00,243274994,299911589,0,0
2026-02-07 00:15:00,VV00-00,458144747,475971617,58478,87718269
2026-02-07 00:15:00,WW00-00,510334560,562220885,0,0
2026-02-07 00:15:00,XX00-00,504688643,188332531,0,0
2026-02-07 00:15:00,YY00-00,500210926,670095889,46990,70485046
2026-02-07 00:15:00,ZZ00-00,212564681,517720496,0,0
2026-02-07 00:20:00,AA00-00,206784393,358800728,0,0
2026-02-07 00:20:00,BB00-00,466809381,63420688,0,0
2026-02-07 00:20:00,CC00-00,74542657,270924265,0,0
2026-02-07 00:20:00,DD00-00,534226490,637482984,0,0
2026-02-07 00:20:00,EE00-00,302630197,25297080,0,0
2026-02-07 00:20:00,FF00-00,121470794,204822973,0,0
2026-02-07 00:20:00,GG00-00,222394415,346657428,0,0
2026-02-07 00:20:00,HH00-00,430852947,194409893,0,0
2026-02-07 00:20:00,II00-00,448388828,44914186,0,0
2026-02-07 00:20:00,JJ00-00,292414142,315252982,0,0
2026-02-07 00:20:00,KK00-00,440096655,221333330,0,0
2026-02-07 00:20:00,LL00-00,426974007,346206895,51193,76790575
2026-02-07 00:20:00,MM00-00,166017052,347304095,0,0
2026-02-07 00:20:00,NN00-00,295453909,64838387,0,0
2026-02-07 00:20:00,OO00-00,198749641,382437792,0,0
2026-02-07 00:20:00,PP00-00,272556153,78485768,0,0
2026-02-07 00:20:00,QQ00-00,270138430,320480134,0,0
2026-02-07 00:20:00,RR00-00,169170387,393121188,0,0
2026-02-07 00:20:00,SS00-00,262274325,216124229,24140,36211313
2026-02-07 00:20:00,TT00-00,325576532,127957378,0,0
2026-02-07 00:20:00,UU00-00,265752993,309208629,0,0
2026-02-07 00:20:00,VV00-00,468103541,509174842,0,0
2026-02-07 00:20:00,WW00-00,533582735,555127680,65761,98641887
2026-02-07 00:20:00,XX00-00,462679443,192845423,0,0
2026-02-07 00:20:00,YY00-00,522348064,604610417,0,0
2026-02-07 00:20:00,ZZ00-00,203724104,521849751,0,0
2026-02-07 00:25:00,AA00-00,216515718,368089021,28641,42961648
2026-02-07 00:25:00,BB00-00,426357613,60101696,0,0
2026-02-07 00:25:00,CC00-00,81195797,286557678,0,0
2026-02-07 00:25:00,DD00-00,552366019,663955930,0,0
2026-02-07 00:25:00,EE00-00,297462753,24403707,39383,59074641
2026-02-07 00:25:00,FF00-00,133258991,198062841,0,0
2026-02-07 00:25:00,GG00-00,216409959,340071425,0,0
2026-02-07 00:25:00,HH00-00,408183559,203104722,30682,46024439
2026-02-07 00:25:00,II00-00,406695587,47903407,0,0
2026-02-07 00:25:00,JJ00-00,287258692,291253501,0,0
2026-02-07 00:25:00,KK00-00,415515394,222320711,49982,74973268
2026-02-07 00:25:00,LL00-00,411201862,350457464,0,0
2026-02-07 00:25:00,MM00-00,170226335,376696832,0,0
2026-02-07 00:25:00,NN00-00,296847311,65302919,37447,56171889
2026-02-07 00:25:00,OO00-00,189921581,411088244,19587,29381715
2026-02-07 00:25:00,PP00-00,269406210,76914095,0,0
2026-02-07 00:25:00,QQ00-00,286472763,347039709,0,0
2026-02-07 00:25:00,RR00-00,160452833,406646235,0,0
2026-02-07 00:25:00,SS00-00,285642895,199406595,0,0
2026-02-07 00:25:00,TT00-00,322048083,127101387,0,0
2026-02-07 00:25:00,UU00-00,262021425,285911349,0,0
2026-02-07 00:25:00,VV00-00,472392595,490410617,44053,66079900
2026-02-07 00:25:00,WW00-00,516945245,604646626,47954,71931468
2026-02-07 00:25:00,XX00-00,483287274,185695597,0,0
2026-02-07 00:25:00,YY00-00,533075015,556671209,52715,79073089
2026-02-07 00:25:00,ZZ00-00,208626947,570743955,0,0
2026-02-07 00:30:00,AA00-00,221503816,379304471,25596,38395292
2026-02-07 00:30:00,BB00-00,421996135,62218390,0,0
2026-02-07 00:30:00,CC00-00,74609537,309524372,0,0
2026-02-07 00:30:00,DD00-00,501721631,650952612,0,0
2026-02-07 00:30:00,EE00-00,292676056,23976843,0,0
2026-02-07 00:30:00,FF00-00,127281310,184848514,0,0
2026-02-07 00:30:00,GG00-00,215757763,331618427,0,0
2026-02-07 00:30:00,HH00-00,371097776,221883813,0,0
2026-02-07 00:30:00,II00-00,424170353,50382892,0,0
2026-02-07 00:30:00,JJ00-00,280406730,300503670,0,0
2026-02-07 00:30:00,KK00-00,388866649,219302171,45881,68822086
2026-02-07 00:30:00,LL00-00,407437653,375213631,32655,48982753
2026-02-07 00:30:00,MM00-00,182280409,358831448,16914,25371860
2026-02-07 00:30:00,NN00-00,317716139,67334580,0,0
2026-02-07 00:30:00,OO00-00,208687382,395333902,0,0
2026-02-07 00:30:00,PP00-00,270467839,72757524,0,0
2026-02-07 00:30:00,QQ00-00,287589407,370587306,0,0
2026-02-07 00:30:00,RR00-00,160338172,369925720,20078,30117692
2026-02-07 00:30:00,SS00-00,313451166,207645937,0,0
2026-02-07 00:30:00,TT00-00,328633896,119267201,0,0
2026-02-07 00:30:00,UU00-00,255225242,310259474,0,0
2026-02-07 00:30:00,VV00-00,488155831,503901756,0,0
2026-02-07 00:30:00,WW00-00,468263634,616585517,0,0
2026-02-07 00:30:00,XX00-00,504471726,196910968,0,0
2026-02-07 00:30:00,YY00-00,558684908,586892848,0,0
2026-02-07 00:30:00,ZZ00-00,207277042,550717901,0,0
2026-02-07 00:35:00,AA00-00,235691535,345815208,0,0
2026-02-07 00:35:00,BB00-00,452583189,56990652,0,0
2026-02-07 00:35:00,CC00-00,71229579,286832041,6877,10316795
2026-02-07 00:35:00,DD00-00,499159810,649517309,0,0
2026-02-07 00:35:00,EE00-00,266666827,23442801,0,0
2026-02-07 00:35:00,FF00-00,128811999,171395814,0,0
2026-02-07 00:35:00,GG00-00,199142860,321815715,0,0
2026-02-07 00:35:00,HH00-00,378014051,215433211,0,0
2026-02-07 00:35:00,II00-00,437998857,53351990,0,0
2026-02-07 00:35:00,JJ00-00,264580622,284296759,0,0
2026-02-07 00:35:00,KK00-00,395147647,227229746,29307,43961607
2026-02-07 00:35:00,LL00-00,419156135,368980412,0,0
2026-02-07 00:35:00,MM00-00,170005526,390611803,18617,27925803
2026-02-07 00:35:00,NN00-00,294505232,72515585,0,0
2026-02-07 00:35:00,OO00-00,208002701,396263961,0,0
2026-02-07 00:35:00,PP00-00,249594310,71342354,23654,35481819
2026-02-07 00:35:00,QQ00-00,282093343,386807716,35508,53262235
2026-02-07 00:35:00,RR00-00,153325616,375877386,0,0
2026-02-07 00:35:00,SS00-00,337881965,214488575,0,0
2026-02-07 00:35:00,TT00-00,360397605,115895570,0,0
2026-02-07 00:35:00,UU00-00,257897795,298730653,0,0
2026-02-07 00:35:00,VV00-00,488159344,516675366,51931,77897664
2026-02-07 00:35:00,WW00-00,455700283,662866637,54059,81089961
2026-02-07 00:35:00,XX00-00,516310945,210501685,0,0
2026-02-07 00:35:00,YY00-00,608458896,635923660,0,0
2026-02-07 00:35:00,ZZ00-00,188341922,503050882,0,0
2026-02-07 00:40:00,AA00-00,237608462,344362050,0,0
2026-02-07 00:40:00,BB00-00,495960253,60685910,0,0
2026-02-07 00:40:00,CC00-00,77202948,299145269,8088,12132693
2026-02-07 00:40:00,DD00-00,451011574,601129484,0,0
2026-02-07 00:40:00,EE00-00,292816488,24359145,22476,33715403
2026-02-07 00:40:00,FF00-00,133067738,157228657,0,0
2026-02-07 00:40:00,GG00-00,179575406,301103947,0,0
2026-02-07 00:40:00,HH00-00,388970900,225273579,0,0
2026-02-07 00:40:00,II00-00,411903678,48996657,0,0
2026-02-07 00:40:00,JJ00-00,289889693,308181779,30943,46415771
2026-02-07 00:40:00,KK00-00,377295643,238440723,48909,73363795
2026-02-07 00:40:00,LL00-00,426903691,380296535,49566,74349666
2026-02-07 00:40:00,MM00-00,157099653,417569257,0,0
2026-02-07 00:40:00,NN00-00,294339604,66749927,0,0
2026-02-07 00:40:00,OO00-00,204885418,365880933,26253,39380386
2026-02-07 00:40:00,PP00-00,237042370,68792019,0,0
2026-02-07 00:40:00,QQ00-00,290853973,422299854,0,0
2026-02-07 00:40:00,RR00-00,162942602,362789114,14240,21360703
2026-02-07 00:40:00,SS00-00,355161459,234127314,42535,63803927
2026-02-07 00:40:00,TT00-00,387889635,125729421,0,0
2026-02-07 00:40:00,UU00-00,274344609,278697245,0,0
2026-02-07 00:40:00,VV00-00,489397688,487664327,0,0
2026-02-07 00:40:00,WW00-00,438883819,726454238,0,0
2026-02-07 00:40:00,XX00-00,547240955,202182500,0,0
2026-02-07 00:40:00,YY00-00,620156894,586941577,0,0
2026-02-07 00:40:00,ZZ00-00,202617580,508868446,23944,35916520
2026-02-07 00:45:00,AA00-00,248184842,341245463,0,0
2026-02-07 00:45:00,BB00-00,516141484,55079792,0,0
2026-02-07 00:45:00,CC00-00,81765256,292790379,7329,10994872
2026-02-07 00:45:00,DD00-00,432545639,652706151,0,0
2026-02-07 00:45:00,EE00-00,264410475,24650998,0,0
2026-02-07 00:45:00,FF00-00,124834921,151554474,0,0
2026-02-07 00:45:00,GG00-00,181347046,326280912,0,0
2026-02-07 00:45:00,HH00-00,407328447,217074329,0,0
2026-02-07 00:45:00,II00-00,407451788,44971955,0,0
2026-02-07 00:45:00,JJ00-00,295825169,305178633,0,0
2026-02-07 00:45:00,KK00-00,359997392,249214352,0,0
2026-02-07 00:45:00,LL00-00,428189489,406642032,30216,45324189
2026-02-07 00:45:00,MM00-00,165598837,391221090,16144,24216346
2026-02-07 00:45:00,NN00-00,270855848,68505220,0,0
2026-02-07 00:45:00,OO00-00,213221149,363257545,16503,24755170
2026-02-07 00:45:00,PP00-00,234452125,71408670,0,0
2026-02-07 00:45:00,QQ00-00,308823145,453868860,0,0
2026-02-07 00:45:00,RR00-00,177771629,334322031,0,0
2026-02-07 00:45:00,SS00-00,385833092,249161616,0,0
2026-02-07 00:45:00,TT00-00,426056585,130284086,0,0
2026-02-07 00:45:00,UU00-00,270723006,276811353,0,0
2026-02-07 00:45:00,VV00-00,445493443,483487444,0,0
2026-02-07 00:45:00,WW00-00,419379443,772174465,0,0
2026-02-07 00:45:00,XX00-00,591300045,200293887,0,0
2026-02-07 00:45:00,YY00-00,667318531,628009052,69627,104440995
2026-02-07 00:45:00,ZZ00-00,218869317,512948311,0,0
2026-02-07 00:50:00,AA00-00,244989585,341498008,0,0
2026-02-07 00:50:00,BB00-00,555819052,57235858,48592,72888415
2026-02-07 00:50:00,CC00-00,76422101,301821361,0,0
2026-02-07 00:50:00,DD00-00,447399257,622766349,0,0
2026-02-07 00:50:00,EE00-00,256608558,23480342,0,0
2026-02-07 00:50:00,FF00-00,127481514,154526026,0,0
2026-02-07 00:50:00,GG00-00,191251594,348587650,0,0
2026-02-07 00:50:00,HH00-00,377077487,206480497,0,0
2026-02-07 00:50:00,II00-00,394281620,49068802,0,0
2026-02-07 00:50:00,JJ00-00,312311437,318095940,0,0
2026-02-07 00:50:00,KK00-00,352540230,260431536,0,0
2026-02-07 00:50:00,LL00-00,442715396,413901976,0,0
2026-02-07 00:50:00,MM00-00,170419557,383866293,0,0
2026-02-07 00:50:00,NN00-00,279254834,63882960,0,0
2026-02-07 00:50:00,OO00-00,228080809,342012205,0,0
2026-02-07 00:50:00,PP00-00,239805294,65310455,0,0
2026-02-07 00:50:00,QQ00-00,304336203,490674785,21240,31860994
2026-02-07 00:50:00,RR00-00,170121395,304989468,0,0
2026-02-07 00:50:00,SS00-00,384586747,227147353,0,0
2026-02-07 00:50:00,TT00-00,396521349,143199703,0,0
2026-02-07 00:50:00,UU00-00,260738740,269268778,0,0
2026-02-07 00:50:00,VV00-00,480645303,491441873,0,0
2026-02-07 00:50:00,WW00-00,396651131,696355875,29266,43899250
2026-02-07 00:50:00,XX00-00,534127255,205711098,0,0
2026-02-07 00:50:00,YY00-00,687367241,590232149,0,0
2026-02-07 00:50:00,ZZ00-00,227892583,536848919,0,0
2026-02-07 00:55:00,AA00-00,229406146,342559738,0,0
2026-02-07 00:55:00,BB00-00,586684341,56226189,0,0
2026-02-07 00:55:00,CC00-00,71345359,311610677,0,0
2026-02-07 00:55:00,DD00-00,456191524,631272576,0,0
2026-02-07 00:55:00,EE00-00,251956197,22707906,0,0
2026-02-07 00:55:00,FF00-00,115458313,148443551,0,0
2026-02-07 00:55:00,GG00-00,207445419,381224270,0,0
2026-02-07 00:55:00,HH00-00,375181140,226201275,0,0
2026-02-07 00:55:00,II00-00,396908139,46614713,52548,78822896
2026-02-07 00:55:00,JJ00-00,293351338,286806576,0,0
2026-02-07 00:55:00,KK00-00,322629868,249013164,0,0
2026-02-07 00:55:00,LL00-00,411290303,387082821,53799,80699885
2026-02-07 00:55:00,MM00-00,158557153,419133632,0,0
2026-02-07 00:55:00,NN00-00,276709584,59220693,0,0
2026-02-07 00:55:00,OO00-00,208400032,349038736,15327,22991758
2026-02-07 00:55:00,PP00-00,251443970,65039738,29483,44225120
2026-02-07 00:55:00,QQ00-00,293389835,536451563,32248,48372325
2026-02-07 00:55:00,RR00-00,169079707,294250318,0,0
2026-02-07 00:55:00,SS00-00,388366159,213805780,0,0
2026-02-07 00:55:00,TT00-00,386678959,140733474,0,0
2026-02-07 00:55:00,UU00-00,271325939,267445268,0,0
2026-02-07 00:55:00,VV00-00,446292420,533623289,54191,81287055
2026-02-07 00:55:00,WW00-00,431565705,655813981,0,0
2026-02-07 00:55:00,XX00-00,533108041,224647294,0,0
2026-02-07 00:55:00,YY00-00,699517093,590541342,0,0
2026-02-07 00:55:00,ZZ00-00,216567394,550215529,0,0
2026-02-07 01:00:00,AA00-00,224406679,376314102,0,0
2026-02-07 01:00:00,BB00-00,612781775,53490971,0,0
2026-02-07 01:00:00,CC00-00,69268529,315405622,0,0
2026-02-07 01:00:00,DD00-00,495189735,633680125,48900,73350944
2026-02-07 01:00:00,EE00-00,255294833,23534678,0,0
2026-02-07 01:00:00,FF00-00,105054605,152380497,0,0
2026-02-07 01:00:00,GG00-00,186717171,378259428,0,0
2026-02-07 01:00:00,HH00-00,398976540,237985757,0,0
2026-02-07 01:00:00,II00-00,378326550,48341492,0,0
2026-02-07 01:00:00,JJ00-00,304782174,267123806,23679,35519759
2026-02-07 01:00:00,KK00-00,315568186,231647595,33597,50396719
2026-02-07 01:00:00,LL00-00,372123187,396546830,0,0
2026-02-07 01:00:00,MM00-00,146056627,459086562,0,0
2026-02-07 01:00:00,NN00-00,270413195,57159321,0,0
2026-02-07 01:00:00,OO00-00,210703123,361775961,0,0
2026-02-07 01:00:00,PP00-00,275321688,60705668,0,0
2026-02-07 01:00:00,QQ00-00,312347840,541845093,36218,54328160
2026-02-07 01:00:00,RR00-00,154476897,298395409,0,0
2026-02-07 01:00:00,SS00-00,403278831,207480521,0,0
2026-02-07 01:00:00,TT00-00,392002854,143752904,0,0
2026-02-07 01:00:00,UU00-00,268388266,287482845,0,0
2026-02-07 01:00:00,VV00-00,430593793,485648243,48940,73410605
2026-02-07 01:00:00,WW00-00,454868854,697607903,0,0
2026-02-07 01:00:00,XX00-00,543089915,221746995,39416,59125028
2026-02-07 01:00:00,YY00-00,702182832,538202669,93119,139679470
2026-02-07 01:00:00,ZZ00-00,230035912,579700186,0,0
2026-02-07 01:05:00,AA00-00,222402008,341838155,0,0
2026-02-07 01:05:00,BB00-00,637385593,58062904,0,0
2026-02-07 01:05:00,CC00-00,65058569,346032056,0,0
2026-02-07 01:05:00,DD00-00,532590294,642669422,0,0
2026-02-07 01:05:00,EE00-00,235324174,25834808,0,0
2026-02-07 01:05:00,FF00-00,107775762,138194549,0,0
2026-02-07 01:05:00,GG00-00,183457808,387768596,0,0
2026-02-07 01:05:00,HH00-00,364162078,224609402,26932,40399128
2026-02-07 01:05:00,II00-00,371541470,48880366,0,0
2026-02-07 01:05:00,JJ00-00,309084098,269298843,0,0
2026-02-07 01:05:00,KK00-00,290395321,252908233,0,0
2026-02-07 01:05:00,LL00-00,381124958,374179907,0,0
2026-02-07 01:05:00,MM00-00,134045613,446994454,13437,20156643
2026-02-07 01:05:00,NN00-00,295092962,56589522,0,0
2026-02-07 01:05:00,OO00-00,231253730,349619013,0,0
2026-02-07 01:05:00,PP00-00,265988777,57410335,0,0
2026-02-07 01:05:00,QQ00-00,309952792,505220738,0,0
2026-02-07 01:05:00,RR00-00,152950275,282625888,0,0
2026-02-07 01:05:00,SS00-00,435475108,191473815,0,0
2026-02-07 01:05:00,TT00-00,391513967,143862647,0,0
2026-02-07 01:05:00,UU00-00,282354618,296334692,35856,53784220
2026-02-07 01:05:00,VV00-00,407037489,450279613,31379,47068831
2026-02-07 01:05:00,WW00-00,486172878,632586114,0,0
2026-02-07 01:05:00,XX00-00,497666869,228160503,37633,56450798
2026-02-07 01:05:00,YY00-00,686161644,551570149,0,0
2026-02-07 01:05:00,ZZ00-00,214496645,620871857,0,0
2026-02-07 01:10:00,AA00-00,213543599,347454709,18708,28062315
2026-02-07 01:10:00,BB00-00,595898952,61502623,56622,84933296
2026-02-07 01:10:00,CC00-00,59330663,375882881,6822,10234489
2026-02-07 01:10:00,DD00-00,512571727,640819154,0,0
2026-02-07 01:10:00,EE00-00,250378875,26754468,0,0
2026-02-07 01:10:00,FF00-00,107062091,151206378,0,0
2026-02-07 01:10:00,GG00-00,188640581,355826299,0,0
2026-02-07 01:10:00,HH00-00,390687523,217522025,0,0
2026-02-07 01:10:00,II00-00,363150011,47025394,0,0
2026-02-07 01:10:00,JJ00-00,334654367,248345381,0,0
2026-02-07 01:10:00,KK00-00,293999133,267026845,0,0
2026-02-07 01:10:00,LL00-00,385300493,355639604,0,0
2026-02-07 01:10:00,MM00-00,141000374,470614609,16994,25492023
2026-02-07 01:10:00,NN00-00,282932907,53321060,0,0
2026-02-07 01:10:00,OO00-00,222017611,356134739,0,0
2026-02-07 01:10:00,PP00-00,254193977,52873166,0,0
2026-02-07 01:10:00,QQ00-00,309865893,455863127,0,0
2026-02-07 01:10:00,RR00-00,153036596,268228158,0,0
2026-02-07 01:10:00,SS00-00,392002722,196074998,0,0
2026-02-07 01:10:00,TT00-00,427503760,130450786,0,0
2026-02-07 01:10:00,UU00-00,259798706,277822412,30984,46477235
2026-02-07 01:10:00,VV00-00,398563399,425018194,0,0
2026-02-07 01:10:00,WW00-00,517826558,661539076,62597,93896759
2026-02-07 01:10:00,XX00-00,451351980,229958683,0,0
2026-02-07 01:10:00,YY00-00,693971380,533413631,0,0
2026-02-07 01:10:00,ZZ00-00,196008629,625625423,18693,28040362
2026-02-07 01:15:00,AA00-00,219557249,364608593,0,0
2026-02-07 01:15:00,BB00-00,636306661,57753828,0,0
2026-02-07 01:15:00,CC00-00,62176523,343898840,0,0
2026-02-07 01:15:00,DD00-00,497354971,630344348,0,0
2026-02-07 01:15:00,EE00-00,250282118,28415920,0,0
2026-02-07 01:15:00,FF00-00,113748579,155039145,0,0
2026-02-07 01:15:00,GG00-00,184275799,379050106,0,0
2026-02-07 01:15:00,HH00-00,418715574,215221368,0,0
2026-02-07 01:15:00,II00-00,372957778,49067268,0,0
2026-02-07 01:15:00,JJ00-00,357343683,250171787,0,0
2026-02-07 01:15:00,KK00-00,322520978,240511221,0,0
2026-02-07 01:15:00,LL00-00,394605071,373901543,0,0
2026-02-07 01:15:00,MM00-00,148504045,444652734,0,0
2026-02-07 01:15:00,NN00-00,294249235,52370777,0,0
2026-02-07 01:15:00,OO00-00,213619316,351852731,0,0
2026-02-07 01:15:00,PP00-00,265373298,49371669,0,0
2026-02-07 01:15:00,QQ00-00,314383063,426857249,0,0
2026-02-07 01:15:00,RR00-00,160027577,271655679,0,0
2026-02-07 01:15:00,SS00-00,410053535,204802442,0,0
2026-02-07 01:15:00,TT00-00,411939743,137723208,0,0
2026-02-07 01:15:00,UU00-00,272554086,253666358,0,0
2026-02-07 01:15:00,VV00-00,414606264,387503008,0,0
2026-02-07 01:15:00,WW00-00,478603678,607479647,38569,57854528
2026-02-07 01:15:00,XX00-00,486231506,245863960,0,0
2026-02-07 01:15:00,YY00-00,758849441,565642982,0,0
2026-02-07 01:15:00,ZZ00-00,180683632,590566562,0,0
2026-02-07 01:20:00,AA00-00,237336151,330666679,0,0
2026-02-07 01:20:00,BB00-00,663209132,58181368,0,0
2026-02-07 01:20:00,CC00-00,66547467,371070109,0,0
2026-02-07 01:20:00,DD00-00,486689383,636550852,0,0
2026-02-07 01:20:00,EE00-00,269386202,28099146,0,0
2026-02-07 01:20:00,FF00-00,111397494,165434322,0,0
2026-02-07 01:20:00,GG00-00,175772806,394522650,0,0
2026-02-07 01:20:00,HH00-00,386930135,213250963,0,0
2026-02-07 01:20:00,II00-00,364304200,49018461,0,0
2026-02-07 01:20:00,JJ00-00,334874097,232992661,0,0
2026-02-07 01:20:00,KK00-00,347475970,230915537,0,0
2026-02-07 01:20:00,LL00-00,365346064,358849439,0,0
2026-02-07 01:20:00,MM00-00,137375825,456968382,18082,27124323
2026-02-07 01:20:00,NN00-00,273239562,51969691,0,0
2026-02-07 01:20:00,OO00-00,230973112,358250972,0,0
2026-02-07 01:20:00,PP00-00,263034209,53894968,0,0
2026-02-07 01:20:00,QQ00-00,295929474,390047725,0,0
2026-02-07 01:20:00,RR00-00,163408767,266496267,0,0
2026-02-07 01:20:00,SS00-00,417195402,220328411,0,0
2026-02-07 01:20:00,TT00-00,380902764,138436415,0,0
